,Product,TypeName,Cpu,Ram,Memory,OpSys,Price
13,Inspiron 3567,Notebook,i3,4,256GB,Windows 10,1.0
16,Inspiron 3567,Notebook,i7,8,256GB,Windows 10,2.0
19,XPS 13,Ultrabook,i5,8,128GB,Windows 10,2.0
23,Inspiron 5379,2 in 1 Convertible,i5,8,256GB,Windows 10,2.0
25,Inspiron 3567,Notebook,i3,4,1TB,Windows 10,1.0
27,Inspiron 5570,Notebook,i5,8,256GB,Windows 10,2.0
28,Latitude 5590,Ultrabook,i7,8,256GB,Windows 10,2.0
33,XPS 13,Ultrabook,i7,16,64GB,Windows 10,3.0
37,Inspiron 5770,Notebook,i5,8,128GB,Windows 10,2.0
41,Inspiron 7577,Gaming,i7,16,256GB,Windows 10,2.0
44,Inspiron 7773,2 in 1 Convertible,i5,12,1TB,Windows 10,2.0
48,Inspiron 3567,Notebook,i5,4,256GB,Windows 10,1.0
55,Inspiron 3576,Notebook,i7,8,256GB,Windows 10,2.0
60,Inspiron 5770,Notebook,i7,16,256GB,Windows 10,2.0
61,Vostro 5471,Ultrabook,i5,8,256GB,Windows 10,2.0
71,Inspiron 5370,Ultrabook,i7,8,256GB,Windows 10,2.0
72,Inspiron 5570,Notebook,i7,8,256GB,Windows 10,2.0
77,Inspiron 5570,Notebook,i7,8,128GB,Windows 10,2.0
80,Latitude 5590,Ultrabook,i5,8,256GB,Windows 10,2.0
85,Inspiron 7577,Gaming,i7,16,128GB,Windows 10,2.0
89,XPS 13,Ultrabook,i7,8,256GB,Windows 10,2.0
93,Inspiron 7577,Gaming,i5,8,256GB,Windows 10,2.0
96,Inspiron 3567,Notebook,i7,8,1TB,Linux,1.0
97,Inspiron 3567,Notebook,i3,4,256GB,Linux,1.0
102,Inspiron 3576,Notebook,i5,8,1TB,Linux,1.0
111,XPS 13,Ultrabook,i7,8,256GB,Windows 10,2.0
114,XPS 13,Ultrabook,i5,8,256GB,Windows 10,2.0
117,Inspiron 7570,Notebook,i7,8,256GB,Windows 10,2.0
128,Inspiron 5770,Notebook,i7,16,256GB,Windows 10,2.0
130,Inspiron 5567,Notebook,i5,8,1TB,Windows 10,1.0
131,Inspiron 3567,Notebook,i3,4,1TB,Windows 10,1.0
150,Inspiron 5577,Gaming,i7,16,64GB,Windows 10,2.0
151,Inspiron 7567,Gaming,i7,8,64GB,Windows 10,2.0
158,Inspiron 5579,2 in 1 Convertible,i7,8,256GB,Windows 10,2.0
162,Inspiron 3576,Notebook,i5,8,256GB,Windows 10,1.0
167,Inspiron 5577,Gaming,i7,8,128GB,Windows 10,2.0
175,Inspiron 3567,Notebook,i3,8,1TB,Windows 10,1.0
180,Inspiron 5570,Notebook,i7,16,256GB,Linux,2.0
181,XPS 13,Ultrabook,i5,8,256GB,Windows 10,2.0
185,Inspiron 7773,Notebook,i7,16,64GB,Windows 10,2.0
186,XPS 15,Notebook,i7,16,64GB,Windows 10,3.0
189,Inspiron 5770,Notebook,i7,8,128GB,Windows 10,2.0
194,Inspiron 5379,2 in 1 Convertible,i7,8,1TB,Windows 10,2.0
200,Inspiron 7577,Gaming,i7,16,1TB,Windows 10,3.0
206,Inspiron 3567,Notebook,i3,6,1TB,Windows 10,1.0
207,XPS 13,Ultrabook,i7,8,256GB,Windows 10,3.0
208,XPS 13,Ultrabook,i7,8,256GB,Windows 10,2.0
215,Inspiron 5370,Ultrabook,i7,8,256GB,Windows 10,2.0
218,Latitude 5490,Ultrabook,i5,8,256GB,Windows 10,2.0
219,Inspiron 5379,2 in 1 Convertible,i7,16,64GB,Windows 10,2.0
220,Inspiron 3576,Notebook,i5,8,256GB,Linux,1.0
224,Alienware 17,Gaming,i7,16,256GB,Windows 10,3.0
226,Inspiron 5567,Notebook,i7,16,1TB,Windows 10,2.0
233,Vostro 5468,Notebook,i5,8,256GB,Windows 10,2.0
235,Inspiron 5567,Notebook,i7,16,256GB,Linux,2.0
243,Inspiron 5577,Gaming,i5,8,256GB,Windows 10,2.0
245,Inspiron 5570,Notebook,i7,8,128GB,Windows 10,2.0
250,Inspiron 5579,2 in 1 Convertible,i7,8,1TB,Windows 10,2.0
255,Vostro 5370,Ultrabook,i5,8,256GB,Windows 10,2.0
260,Inspiron 5770,Notebook,i7,8,128GB,Windows 10,2.0
263,Vostro 3568,Notebook,i5,4,1TB,Windows 10,1.0
264,Inspiron 3567,Notebook,i5,8,1TB,Windows 10,1.0
265,Inspiron 5579,2 in 1 Convertible,i5,8,256GB,Windows 10,2.0
272,Inspiron 3576,Notebook,i7,8,256GB,Linux,1.0
275,Inspiron 5567,Notebook,i7,12,1TB,Windows 10,1.0
276,Inspiron 5770,Notebook,i7,8,128GB,Linux,2.0
281,Inspiron 3567,Notebook,i3,4,1TB,Linux,1.0
293,XPS 15,Notebook,i7,8,256GB,Windows 10,2.0
297,Precision 7720,Workstation,i7,16,256GB,Windows 10,3.0
311,XPS 13,Ultrabook,i7,16,1TB,Windows 10,3.0
315,Inspiron 5570,Notebook,i5,8,128GB,Windows 10,2.0
329,XPS 15,Notebook,i7,32,1TB,Windows 10,3.0
336,Inspiron 7570,Ultrabook,i5,8,128GB,Windows 10,2.0
339,Inspiron 7570,Notebook,i5,8,256GB,Windows 10,2.0
344,XPS 13,Ultrabook,i7,8,256GB,Windows 10,2.0
347,Latitude 5590,Ultrabook,i7,16,256GB,Windows 10,2.0
349,Inspiron 5570,Ultrabook,i5,8,1TB,Windows 10,1.0
350,XPS 15,Notebook,i7,16,64GB,Windows 10,3.0
355,Inspiron 5570,Notebook,i7,8,128GB,Windows 10,2.0
357,Inspiron 7577,Gaming,i5,8,1TB,Windows 10,2.0
358,Inspiron 3567,Notebook,i5,8,64GB,Windows 10,1.0
359,Latitude 7480,Notebook,i5,8,256GB,Windows 10,2.0
366,Inspiron 5770,Notebook,i5,8,128GB,Windows 10,2.0
368,Inspiron 5567,Notebook,i7,8,256GB,Windows 10,2.0
374,Inspiron 5379,2 in 1 Convertible,i7,8,256GB,Windows 10,2.0
387,Precision 3510,Workstation,i5,8,500GB,Windows 10,2.0
388,Precision 5520,Workstation,i7,8,256GB,Windows 10,3.0
394,Inspiron 5567,Notebook,i7,8,256GB,Linux,2.0
398,Precision M5520,Workstation,i7,8,256GB,Windows 10,3.0
407,Latitude 7480,Ultrabook,i7,8,64GB,Windows 10,2.0
415,Inspiron 3567,Notebook,i5,4,256GB,Linux,1.0
